gauge_id,umap_40d_dim_1,umap_40d_dim_2,umap_40d_dim_3,umap_40d_dim_4,umap_40d_dim_5,umap_40d_dim_6,umap_40d_dim_7,umap_40d_dim_8,umap_40d_dim_9,umap_40d_dim_10,umap_40d_dim_11,umap_40d_dim_12,umap_40d_dim_13,umap_40d_dim_14,umap_40d_dim_15,umap_40d_dim_16,umap_40d_dim_17,umap_40d_dim_18,umap_40d_dim_19,umap_40d_dim_20,umap_40d_dim_21,umap_40d_dim_22,umap_40d_dim_23,umap_40d_dim_24,umap_40d_dim_25,umap_40d_dim_26,umap_40d_dim_27,umap_40d_dim_28,umap_40d_dim_29,umap_40d_dim_30,umap_40d_dim_31,umap_40d_dim_32,umap_40d_dim_33,umap_40d_dim_34,umap_40d_dim_35,umap_40d_dim_36,umap_40d_dim_37,umap_40d_dim_38,umap_40d_dim_39,umap_40d_dim_40
3024,-3.4915805,4.5455127,5.9058437,5.6589775,0.4689849,7.5499134,7.613342,2.1654427,2.3771996,6.10672,1.4242784,2.9685292,7.3098354,7.241407,7.484708,1.8251169,3.3718019,2.4692254,6.9833694,6.246382,8.284059,8.886663,7.5208507,4.514342,5.29541,3.4659438,2.706267,6.3274145,4.9907894,1.7484514,2.158185,7.3374906,4.5127115,4.6025443,6.748369,3.217588,8.692916,6.6838393,5.031627,8.30672
3028,-3.4650908,4.7103796,5.9705687,5.2792516,0.5962377,7.8903832,7.9615245,2.338806,2.4033608,6.3836555,1.7042276,3.2308693,6.937368,7.2552752,7.342114,1.8920782,3.100926,2.7050617,7.4112663,5.8160315,8.579076,8.828927,7.4698367,4.6463284,5.058779,3.816284,2.4979768,6.283648,4.8948474,1.4530394,2.3652081,6.995012,4.666582,4.4678698,6.7971587,3.3621762,8.830163,6.7391305,4.9493117,8.523569
3029,-3.4541743,4.3839874,5.864092,5.5773587,0.4929474,7.8509827,7.8042064,2.1334796,2.550098,6.433227,1.5019696,2.8982131,7.180605,7.308238,7.328115,1.9371616,3.1017547,2.5844398,7.0703754,6.1987395,8.387435,8.969915,7.414074,4.5820236,4.964066,3.4521525,2.658054,6.42112,4.8788095,1.6559886,2.150784,7.2368183,4.496761,4.4314566,6.746504,3.3747928,9.018599,6.766005,5.075178,8.338774
3030,-3.4596136,4.786,6.0200305,5.344798,0.5418543,7.7693563,7.934127,2.3060675,2.3908842,6.273392,1.673272,3.1840134,6.986174,7.235137,7.364739,1.8994329,3.1643054,2.684457,7.3072414,5.9012117,8.548399,8.808491,7.51082,4.6398454,5.1837106,3.798233,2.5047548,6.2807345,4.8857307,1.4546281,2.359949,7.014167,4.6804285,4.49625,6.782486,3.3196461,8.748106,6.684066,4.9728947,8.495328
3031,-3.6039047,4.901476,6.175987,4.331157,1.1685523,8.422885,8.4474535,2.7788548,2.0113103,7.0937634,2.4260075,4.114806,6.0338655,7.142552,7.2231903,1.6580313,2.4582589,3.0840776,8.493544,4.635429,9.445223,8.468689,7.217778,4.925632,4.6279345,4.6830506,2.1857908,6.1355805,4.7284436,1.178424,2.7990253,6.4869437,5.0321026,4.2241817,6.871356,3.4539263,9.005203,7.0633163,4.5440345,9.080946
3038,-3.5087972,4.636993,5.9190464,5.5758514,0.45751375,7.6384263,7.7017136,2.2399333,2.3828032,6.1417108,1.4975789,3.017117,7.2387166,7.204127,7.4751325,1.8268484,3.320551,2.5523145,7.073682,6.205519,8.322542,8.859124,7.560715,4.530528,5.266402,3.5467584,2.6702144,6.296216,4.9667063,1.649037,2.1970081,7.238135,4.584959,4.546839,6.786311,3.2776096,8.684027,6.6359606,5.0276318,8.378805
3040,-3.426004,4.931066,5.9808345,5.203203,0.5433593,7.9352536,8.040018,2.450156,2.3902078,6.2972603,1.7357677,3.2954702,6.885614,7.2142396,7.3758626,1.8346323,3.169262,2.756123,7.5136924,5.7218647,8.570582,8.791062,7.618565,4.6428022,5.1208563,3.954186,2.4077408,6.2255397,4.9362297,1.2759571,2.4491565,6.8661666,4.7894764,4.513086,6.8050704,3.3740423,8.704661,6.6045814,4.926334,8.575186
3043,-3.5755708,4.440838,5.935249,4.9341884,0.7663551,8.481093,8.319069,2.48044,2.5372639,7.011091,2.0510798,3.3754642,6.5554385,7.2884355,7.154684,2.0032012,2.5601747,3.0213957,7.7931347,5.5457616,8.939232,8.824439,7.2527733,4.813837,4.489127,3.977362,2.43441,6.329936,4.6724033,1.312332,2.4481802,6.756928,4.674601,4.074264,6.8917904,3.6490848,9.284082,6.936509,4.90207,8.764564
3045,-3.5737545,4.701661,6.067276,4.635833,0.95938784,8.445595,8.3918915,2.6364524,2.2826717,7.0326467,2.2303245,3.7498949,6.2980394,7.224759,7.186021,1.8394499,2.5257287,3.0560658,8.153292,5.0730696,9.198703,8.633657,7.2576265,4.8772593,4.587482,4.3586698,2.2953153,6.227029,4.6963964,1.2219944,2.6410923,6.6051846,4.8636255,4.1693363,6.867621,3.5394118,9.136279,6.9792886,4.7105074,8.916173
3047,-3.687794,4.9251146,6.107374,4.2310805,1.235493,8.462404,8.419459,2.8714008,1.8683447,7.08967,2.4783788,4.2479773,6.001052,7.0613966,7.2749357,1.581701,2.4620864,3.0538251,8.601046,4.61967,9.454115,8.447535,7.2097187,4.8791914,4.5963593,4.6693645,2.247951,6.1032696,4.79199,1.2261095,2.7564871,6.504603,5.0559287,4.2224383,6.873866,3.4783227,8.870383,7.0965466,4.5419126,9.142503
3048,-3.445069,4.90539,5.993039,5.119759,0.6279977,7.972168,8.075061,2.4559712,2.303595,6.3546543,1.7983961,3.3888578,6.7740593,7.2264376,7.345825,1.7687759,3.1316237,2.779234,7.6226315,5.547819,8.66191,8.791831,7.568775,4.6406455,5.08623,4.055809,2.4166787,6.2170844,4.914246,1.284372,2.4901097,6.857484,4.8077545,4.5198317,6.824599,3.348984,8.718056,6.6714873,4.891771,8.611334
3055,-3.4719605,4.426593,5.904206,5.3249993,0.5785449,8.115673,8.040118,2.260679,2.5959027,6.653145,1.7130147,3.0565288,6.9346395,7.322526,7.2322655,2.0059063,2.8849986,2.7650266,7.3441167,5.9705453,8.596639,8.92022,7.358247,4.688476,4.77542,3.6546202,2.5410154,6.393824,4.7844615,1.4764841,2.2775,7.0163736,4.5697308,4.2937603,6.8016953,3.497401,9.143967,6.8193235,5.016398,8.497603
3056,-3.490134,4.7744813,5.992218,5.442297,0.5011381,7.664854,7.815726,2.2956662,2.3626888,6.1615863,1.59963,3.1356413,7.1047416,7.206434,7.43627,1.8629358,3.2680712,2.6214662,7.204776,6.034727,8.444029,8.806769,7.5544324,4.5880637,5.2793674,3.708784,2.5722814,6.2639756,4.9342647,1.5355372,2.2996104,7.1081076,4.6524262,4.537537,6.7908154,3.284402,8.661672,6.643205,4.987927,8.454414
3057,-3.6037624,4.964724,6.1713243,4.3620524,1.1619655,8.3244915,8.374803,2.7935297,1.9162387,6.9731097,2.372012,4.176102,6.100716,7.1116605,7.275166,1.579262,2.5878336,3.0448484,8.515464,4.563822,9.394747,8.471061,7.282511,4.8814774,4.743494,4.71053,2.1935961,6.108257,4.7948356,1.2098504,2.8028765,6.533098,5.055148,4.2931705,6.8772955,3.4066024,8.8973255,7.0098624,4.542802,9.063046
3064,-3.451069,4.807866,6.0233264,5.2265105,0.64091676,7.807444,7.9641824,2.3555195,2.332113,6.3313613,1.7331648,3.3256457,6.8897915,7.25405,7.3475924,1.8846203,3.1282938,2.6904864,7.4617286,5.6917105,8.642575,8.784009,7.4636827,4.6641917,5.140287,3.908031,2.4499454,6.257,4.909342,1.435276,2.4209275,6.9702506,4.693164,4.5190663,6.7729797,3.3079755,8.7490835,6.754608,4.9106493,8.544147
3068,-3.5901372,4.9469547,6.206247,4.286169,1.2019246,8.396674,8.469589,2.7738743,1.990027,7.1113086,2.4621825,4.148994,5.993899,7.144367,7.2195234,1.633188,2.4324944,3.0866911,8.524355,4.5857096,9.484251,8.431664,7.202825,4.9549427,4.6522455,4.72942,2.1484742,6.1319942,4.7129345,1.156759,2.8334107,6.460585,5.067462,4.2427783,6.868452,3.4186122,9.007015,7.082459,4.504148,9.096641
3069,-3.5622718,4.619182,5.7151575,5.439105,0.4960249,7.898323,7.6537514,2.4345407,2.196616,6.1853986,1.5124822,3.174959,7.1855445,7.1273665,7.5813384,1.4899242,3.4135468,2.56465,7.3778715,5.9169345,8.242038,8.89352,7.7170215,4.3944736,5.1191874,3.6615765,2.7268102,6.205994,5.1266384,1.599569,2.1994605,7.240681,4.6840863,4.600854,6.848708,3.3220265,8.573175,6.542979,4.971127,8.459744
3071,-3.607727,4.790249,6.063588,4.5357747,1.0427706,8.427871,8.354123,2.729773,2.1144214,7.004301,2.286596,3.9551418,6.2565966,7.175941,7.220841,1.7517542,2.5641973,3.0654867,8.318849,4.846079,9.282967,8.577878,7.263613,4.8466544,4.631666,4.5019517,2.2801604,6.158948,4.7679315,1.2333322,2.6618013,6.595082,4.9091716,4.2006435,6.854195,3.498908,9.015433,6.985853,4.6571584,8.993568
3072,-3.4598017,4.8187957,5.991111,5.115386,0.6388628,8.027453,8.094181,2.4443822,2.3729768,6.4545755,1.8199332,3.3628304,6.7800016,7.239142,7.3163486,1.8529555,3.0383894,2.8004386,7.612163,5.603837,8.693389,8.787055,7.5032935,4.6843996,4.997873,3.9962094,2.4139838,6.243835,4.8761415,1.3097583,2.4672322,6.8524623,4.7641773,4.4421887,6.817338,3.40165,8.821981,6.7189126,4.89669,8.621057
3073,-3.5628574,4.399682,5.919096,4.9880285,0.73099035,8.496,8.325269,2.4444695,2.6024199,7.0131044,2.0169182,3.2890344,6.597717,7.31843,7.127684,2.0504076,2.5516298,3.0154324,7.726365,5.6429515,8.895681,8.857831,7.2497697,4.814415,4.4744997,3.9051542,2.4512618,6.3553805,4.657968,1.3174155,2.4127355,6.773896,4.6392517,4.0615873,6.897113,3.6771843,9.333905,6.9308953,4.9340754,8.728141
3074,-3.4610968,4.666675,5.9436154,5.379165,0.56626374,7.805251,7.8683844,2.2916076,2.405658,6.3136525,1.6215307,3.1569698,7.0396905,7.2590003,7.378112,1.8778788,3.1794393,2.6345873,7.3004737,5.926476,8.492601,8.852293,7.4829445,4.6097493,5.1095786,3.7199192,2.5450258,6.297843,4.9312835,1.5280601,2.3131127,7.0832543,4.6211605,4.511801,6.777617,3.3249924,8.79269,6.727962,4.9689846,8.460185
3075,-3.5640037,4.399317,5.9247036,4.9715962,0.7406391,8.506721,8.338128,2.4491358,2.6020727,7.024593,2.0288546,3.2990315,6.5804973,7.321935,7.1201606,2.0517082,2.5400503,3.0219362,7.743947,5.6269083,8.914619,8.8485775,7.2455797,4.8230915,4.4669666,3.9189765,2.445947,6.3555474,4.647384,1.3130958,2.4230762,6.7640038,4.6441684,4.0577397,6.8960257,3.6795678,9.344426,6.9370017,4.9244623,8.734607
3076,-3.6232622,4.945274,6.2472196,4.231156,1.23591,8.391932,8.488892,2.7797992,1.959403,7.1352086,2.494079,4.184722,5.923664,7.114402,7.234464,1.6194838,2.4107175,3.0781229,8.554752,4.553367,9.524475,8.42025,7.1902814,4.96918,4.6188846,4.7605534,2.1593232,6.142087,4.7047577,1.17007,2.8682003,6.4612365,5.082092,4.2230644,6.8659983,3.4244654,8.985123,7.1120186,4.4969196,9.110567
3079,-3.4376,4.5873904,5.9327097,5.507591,0.54801655,7.684174,7.769887,2.1951065,2.4292855,6.2542276,1.5229315,3.0521066,7.1472173,7.2953596,7.387205,1.9007951,3.243297,2.5422444,7.14339,6.0435452,8.422079,8.888879,7.455324,4.585794,5.1614122,3.5999358,2.5901368,6.3403845,4.9480577,1.6289124,2.2541537,7.195629,4.5421357,4.5616965,6.7365665,3.2686954,8.790145,6.7528343,4.9948416,8.36674
3081,-3.4970944,4.9384017,5.94678,5.0451903,0.66068584,8.006387,8.0401125,2.5582643,2.178044,6.3544974,1.8309531,3.511431,6.7509575,7.1541033,7.423775,1.6356114,3.1664875,2.7866564,7.753977,5.4134626,8.664457,8.754275,7.626789,4.603375,5.0852,4.120185,2.441092,6.1614375,4.9792924,1.2955582,2.4990408,6.8580537,4.86428,4.5301147,6.842544,3.3461752,8.626393,6.6393995,4.849504,8.666444
3082,-3.5523384,4.9584637,5.9689302,4.9046965,0.7781842,8.010409,8.02529,2.6457338,2.0515685,6.432745,1.9247268,3.7251506,6.6816955,7.114731,7.441539,1.6118253,3.0824878,2.796477,7.933991,5.2369394,8.792865,8.666991,7.5497518,4.64494,5.0648265,4.2073245,2.4092655,6.1162844,5.003212,1.3385177,2.5285623,6.84419,4.87721,4.499818,6.82615,3.3503015,8.595155,6.7192416,4.7777157,8.757035
3083,-3.425522,5.000452,5.9997907,5.1368914,0.5716838,7.9322343,8.037867,2.5017722,2.302063,6.2652826,1.7668141,3.3972793,6.830983,7.1784453,7.4166737,1.7553205,3.2111459,2.7587256,7.6147695,5.5609126,8.6193905,8.742913,7.643011,4.6465898,5.1587663,4.0584126,2.3775122,6.1851974,4.9622707,1.2375114,2.5165894,6.832282,4.8511186,4.5607967,6.7976255,3.33375,8.631245,6.587378,4.865266,8.611018
3085,-3.424514,4.558967,5.9383965,5.5401764,0.55746573,7.6412616,7.7434306,2.158753,2.43717,6.2431135,1.4970123,3.0296268,7.1709824,7.319187,7.3816094,1.9192462,3.2559936,2.5097136,7.0997596,6.0635266,8.415959,8.898074,7.4290586,4.5888124,5.175754,3.5708144,2.594386,6.3570776,4.9499116,1.6646787,2.2457218,7.22811,4.5086637,4.582431,6.7177334,3.2426374,8.79842,6.780496,4.994673,8.33624
3087,-3.4662015,4.6855927,5.974019,5.258314,0.5832036,7.977629,8.019195,2.3413641,2.4709907,6.4496627,1.7398931,3.200009,6.907097,7.275096,7.29436,1.938385,3.0377145,2.7554111,7.4226584,5.851528,8.602437,8.84126,7.444877,4.671417,4.985096,3.811049,2.4794302,6.3000503,4.845488,1.4058857,2.3654113,6.956675,4.6658087,4.4081416,6.8209453,3.4187415,8.891175,6.746156,4.964139,8.549338
3089,-3.5036404,4.951556,5.995585,5.0128465,0.7038155,7.948378,8.022785,2.5574791,2.1662252,6.3749075,1.8583488,3.5757494,6.7520065,7.1521926,7.415145,1.7119687,3.1173236,2.7704644,7.766429,5.405039,8.73251,8.700415,7.5512066,4.658525,5.103071,4.1179605,2.4011335,6.157992,4.9719925,1.3291728,2.5147202,6.8567195,4.8401628,4.512184,6.8045907,3.3428204,8.628344,6.6950836,4.823367,8.68808
3091,-3.4734855,4.708293,5.9898973,5.387246,0.92914486,7.1341443,7.464881,2.240552,1.8932829,5.9423637,1.5179542,3.5655134,7.0405464,7.312172,7.5919247,1.7013865,3.6042826,2.2831624,7.343362,5.319534,8.606951,8.756885,7.35779,4.5288806,5.5664673,3.9274096,2.6170225,6.1854835,5.1832943,1.95185,2.4293327,7.3825502,4.4878154,4.94777,6.652309,2.8590095,8.329772,7.0054517,4.7553144,8.35821
3092,-3.5858445,4.8875003,6.227294,4.3601437,1.153344,8.394062,8.464999,2.7330978,2.0569372,7.107901,2.4076247,4.0620146,6.020836,7.148399,7.2219863,1.6704979,2.4607003,3.0831265,8.449124,4.64087,9.450318,8.4762,7.22378,4.9554534,4.632746,4.696052,2.1744072,6.170002,4.6871634,1.1757346,2.8434289,6.486179,5.038518,4.2200613,6.866806,3.435616,9.043053,7.0593863,4.5469933,9.050532
